"","Nhat","fit"
"1",102.738187511516,0
"2",57.9634838029104,0
"3",80.0827156828126,0
"6",95.0261068113407,0
"7",79.2414635508037,0
"8",89.8011629241292,0
"9",76.4019038663623,0
"10",100.458398312997,0
"11",94.2634877638984,0
"13",120.827934099135,0
"14",79.2414635481389,0
"15",77.503854119583,0
"17",94.2987422175091,0
"18",112.915026221291,0
"19",113.158490926599,0
"20",86.004583261971,0
"21",133.395080386501,0
"22",102.738187511445,0
"23",116.838164038355,0
"24",119.60149084452,0
"25",98.8300694536466,0
"26",85.0741865866858,0
"27",138.159560949525,0
"28",70.3977031368406,0
"29",103.482299254064,0
"30",106.156111859737,0
"32",88.0673598257682,0
"33",70.1239516603323,0
"34",99.3757697341531,0
"35",74.8631619378302,0
"36",109.058518593755,0
"37",74.8631619378303,0
"38",124.884338171348,0
"39",95.0261067692923,0
"40",163.231652622909,0
"41",133.395080385636,0
"42",96.0688555968258,0
"44",115.17023979877,0
"46",66.0133679596917,0
"47",106.550587329921,0
"48",96.0688555968453,0
"49",112.809631380354,0
"50",130.666233548373,0
"51",78.4282845656821,0
"52",105.087135036803,0
"53",75.2401104334296,0
"54",83.2469309465617,0
"55",109.131802329507,0
"56",91.1117468052469,0
"57",87.3185676279391,0
"58",143.388728455975,0
"59",138.159560841327,0
"60",103.801507836409,0
"61",65.2328770496858,0
"62",103.801507789739,0
"63",85.0826551014765,0
"64",109.551238827814,0
"65",120.827934107427,0
"66",113.158490926662,0
"67",69.7210106347782,0
"68",84.5190794933177,0
"69",96.0688555968037,0
"70",83.3961678900274,0
"71",96.4290479445397,0
"72",128.71390938426,0
"73",124.884338189833,0
"74",80.5336383030837,0
"75",128.713909498177,0
"76",89.8011629231984,0
"77",101.957835674199,0
"78",96.0688555968453,0
"80",97.3541777102479,0
"81",112.915026205545,0
"84",84.0196434947656,0
"86",94.2987424388314,0
"87",113.856741613254,0
"89",77.8647000423917,0
"90",119.601490843986,0
"91",124.11604684163,0
"92",101.934820659371,0
"93",87.1918358849384,0
"94",90.7753482498956,0
"95",128.713909478841,0
"96",76.4019038663702,0
"97",89.6215252790848,0
"99",96.0688555911605,0
"100",158.447804749778,0
"101",79.7876806645122,0
"102",143.007352543399,0
"103",75.7039024503051,0
"104",74.8631619335165,0
"105",124.884338337532,0
"106",91.6510741161006,0
"107",146.165929603054,0
"108",105.514537895215,0
"109",58.1278905839452,0
"110",128.713909498266,0
"111",86.0045832619663,0
"112",126.295146066661,0
"113",88.0673598257683,0
"114",83.2469309480436,0
"115",84.0196434615887,0
"116",105.268638924637,0
"117",101.934820659353,0
"118",60.3553596247991,0
"119",79.6170838948027,0
"120",82.3478450020568,0
"121",113.626152884425,0
"122",65.1851049986307,0
"123",86.4838419061232,0
"124",108.158506017387,0
"125",86.0045832619709,0
"126",76.208410746725,0
"127",121.562251236888,0
"128",101.957835636256,0
"129",99.3757697341533,0
"130",124.884338313665,0
"131",105.268638924636,0
"132",80.0827156875926,0
"133",120.827934107426,0
"134",105.550363166797,0
"135",88.0673598257683,0
"136",110.453761634453,0
"138",72.6722850227752,0
"139",95.7728784963723,0
"140",91.6510741249204,0
"142",80.5336383030847,0
"143",77.8647000412235,0
"144",97.7707175630879,0
"145",112.915026198302,0
"146",112.915026085222,0
"147",70.3977031364975,0
"148",85.0826551014391,0
"149",82.9779344284335,0
"150",85.0826551014761,0
"151",179.274696051309,0
"152",110.453761634554,0
"153",83.9283968658494,0
"154",87.3185676279978,0
"155",86.4811019664811,0
"156",94.2634877637607,0
"158",101.545384788568,0
"159",94.207351533824,0
"160",121.998104606827,0
"161",79.683836540083,0
"163",115.170239737764,0
"164",86.4811019664819,0
"165",83.3961678900215,0
"167",91.1117468042704,0
"168",79.2414635481574,0
"169",109.629545492707,0
"171",90.7753482498938,0
"172",105.268638924626,0
"173",124.884338313571,0
"174",96.0688555968452,0
"176",128.713909497855,0
"177",126.295146055924,0
"178",113.856741613225,0
"179",120.382926378759,0
"180",107.10201781936,0
"181",91.6510741319069,0
"183",75.7039024497544,0
"184",106.156111859737,0
"185",109.058518588258,0
"186",62.9718814721572,0
"187",80.0827156802447,0
"188",111.53446502241,0
"189",112.915026197039,0
"190",132.107321677819,0
"191",99.3757696576877,0
"192",90.8139215069463,0
"193",101.54538477126,0
"194",90.7753482498795,0
"195",115.170239800266,0
"196",150.622171896845,0
"197",109.551238820047,0
"198",120.827934105086,0
"200",85.0741865099999,0
"201",124.206528843408,0
"202",98.8300695274465,0
"203",66.0133679673555,0
"204",94.2634877502271,0
"205",72.50820275377,0
"206",101.934820659306,0
"207",95.0261068046973,0
"208",117.310960041154,0
"209",95.0261068125346,0
"211",158.050605404767,0
"212",89.6215251980184,0
"213",96.0688555967928,0
"214",101.623523599163,0
"215",114.82948589099,0
"216",117.775107486506,0
"217",112.915026159243,0
"218",117.775107486548,0
"220",124.11604681719,0
"221",85.0741865866877,0
"222",86.0045832601701,0
"223",85.0741865715588,0
"224",88.3365914353717,0
"225",90.2871947804763,0
"226",83.2469309480414,0
"227",113.856741516861,0
"228",94.5437451680792,0
"229",72.4284260759906,0
"231",86.48110194934,0
"232",117.775107486414,0
"234",88.806600120892,0
"235",113.626152866683,0
"236",112.809631420716,0
"237",115.170239801015,0
"238",85.0741865482907,0
"239",77.3927494294454,0
"240",97.8887535853344,0
"242",98.4616929423489,0
"244",83.3961678900275,0
"245",101.957835674169,0
"246",92.7632441794646,0
"247",88.3365914478761,0
"248",113.856741515089,0
"249",67.8158723546301,0
"250",77.309920359561,0
"251",102.210567027154,0
"252",86.4811019664819,0
"253",92.8174419288837,0
"254",77.3478682740533,0
"255",116.838164038355,0
"257",86.4811019643105,0
"258",91.6510741319068,0
"259",117.775107486548,0
"260",105.550363175432,0
"261",68.1903629451545,0
"262",82.0834780956382,0
"263",110.822291717381,0
"264",130.666233539545,0
"265",73.7152280608881,0
"266",67.9765337205327,0
"267",99.375769712136,0
"268",120.827934107395,0
"269",97.7707175631399,0
"271",101.957835674198,0
"272",105.51453787209,0
"274",83.0997693461231,0
"275",91.1117468053225,0
"276",102.376296999369,0
"277",100.552228724453,0
"278",94.2987424388317,0
"279",113.158490834313,0
"280",89.6215252949065,0
"281",113.158490926601,0
"282",112.91502611164,0
"283",102.738187511445,0
"285",112.809631434131,0
"286",95.0261067808341,0
"287",95.6273372102347,0
"288",86.8866307851714,0
"289",128.713909483747,0
"290",97.770717514421,0
"291",126.295146056447,0
"292",91.6529860320904,0
"293",88.8066001209373,0
"294",106.5576449546,0
"295",101.623523592446,0
"296",94.2073516064087,0
"298",98.4006470553042,0
"300",79.2414635481574,0
"301",100.552228756183,0
"302",88.0673598257502,0
"303",94.2987424311074,0
"304",105.51453791311,0
"305",85.0826551014768,0
"306",65.3993656735076,0
"307",124.20652884342,0
"308",53.9999999984054,0
"309",116.548027486426,0
"310",101.623523599163,0
"311",116.548027474489,0
"313",74.9665572007999,0
"314",105.550363175432,0
"315",95.7728784963724,0
"316",102.738187511445,0
"317",109.551238827784,0
"318",113.626152884421,0
"319",105.268638924637,0
"320",106.55764499095,0
"321",119.601490768718,0
"322",94.2987424388308,0
"323",124.884338337389,0
"325",124.884338435874,0
"326",109.058518593767,0
"328",92.8174419288838,0
"329",147.938456395543,0
"330",69.7210106386795,0
"331",67.6323682875431,0
"332",116.838163866633,0
"334",78.7564045456954,0
"335",91.6510740913206,0
"336",101.934820659324,0
"337",105.514537911366,0
"338",105.268638924637,0
"339",94.5437451680804,0
"340",63.3549001778321,0
"341",116.838164038355,0
"342",87.3185676279982,0
"343",87.3185675921316,0
"344",109.131802340237,0
"345",120.346992634043,0
"346",92.8931701174714,0
"347",81.8892609440532,0
"348",127.981068706018,0
"353",105.550363175432,0
"354",110.453761634458,0
"355",109.058518593528,0
"356",79.6170838948,0
"357",98.4616929423507,0
"358",66.4327176379014,0
"359",126.295146066496,0
"360",82.1322227025807,0
"361",92.763244179142,0
"362",72.6908227013853,0
"363",105.514537913107,0
"364",86.4838419136394,0
"365",105.514537913106,0
"366",77.8647000433168,0
"367",113.856741613253,0
"370",106.955468398399,0
"372",92.8174419288838,0
"373",100.552228756291,0
"374",128.126637833991,0
"375",91.1117468053226,0
"376",109.131802279221,0
"377",79.2414635136724,0
"378",98.4616929423508,0
"379",84.0196434942251,0
"380",130.666233543082,0
"381",109.131802340256,0
"382",109.131802324174,0
"383",101.95783565676,0
"384",83.2469309480432,0
"385",97.770717561504,0
"386",106.955468400169,0
"387",102.376296969865,0
"388",80.604831875286,0
"389",77.3099203596071,0
"390",113.158491024268,0
"391",79.9831609695542,0
"392",79.2414635481524,0
"393",105.514537913108,0
"395",97.8887535773235,0
"396",143.388728281962,0
"397",96.0688555968442,0
"398",116.548027489501,0
"399",83.2469309480437,0
"400",106.955468400176,0
"401",88.8066000826365,0
"402",112.915026221292,0
"403",111.711382420438,0
"404",121.998104607053,0
"405",83.2469309479691,0
"406",97.7707175630886,0
"407",99.2990066115108,0
"408",78.4282845656364,0
"409",73.0270441368153,0
"410",106.156111859737,0
"411",96.4290479445395,0
"412",97.8887535852202,0
"413",116.838164038355,0
"414",92.8174419285262,0
"415",95.6273372473678,0
"416",95.7728784963679,0
"417",130.666233521835,0
"418",58.5209881652524,0
"419",103.801507836428,0
"421",120.827934063659,0
"422",110.822291856566,0
"424",179.274696051317,0
"425",75.6840810161885,0
"426",116.838164038355,0
"427",89.6215252949017,0
"429",86.4811019541712,0
"430",74.4742549586895,0
"431",124.206528843376,0
"432",72.6722850227747,0
"433",89.8011629238062,0
"434",84.9254839640263,0
"435",70.8763600090571,0
"437",92.7632441372128,0
"438",107.102017887106,0
"439",124.884338313249,0
"440",90.1981417836728,0
"441",87.3185676260081,0
"442",126.295146066347,0
"443",70.0463231039647,0
"445",86.8866307850436,0
"446",120.82793410742,0
"447",83.3961678900274,0
"448",109.131802340249,0
"450",74.9665572008043,0
"451",79.2414635478932,0
"452",155.145058552132,0
"453",62.9718814721612,0
"454",75.7039024503052,0
"455",87.3185676120485,0
"456",89.4952487197186,0
"457",116.742950475327,0
"458",85.3651562551179,0
"459",95.7728783971955,0
"460",116.548027489496,0
"461",101.957835674201,0
"462",84.0196434945983,0
"463",86.8866307851688,0
"465",75.7039024504321,0
"466",116.838164038355,0
"467",124.206528774219,0
"468",95.7728784962472,0
"470",112.915026221289,0
"471",76.4019038663694,0
"473",101.957835674195,0
"474",79.8093257145324,0
"475",101.957835665234,0
"476",73.0270441368151,0
"477",139.630552696919,0
"478",103.482299254067,0
"479",105.550363175371,0
"482",105.550363175432,0
"483",116.021802411105,0
"485",84.9254839640264,0
"486",101.545384796411,0
"487",126.295146056027,0
"488",128.126637954576,0
"489",89.8011629241379,0
"491",71.6112294652982,0
"492",88.336591437829,0
"493",99.3757696489372,0
"494",79.0405183518506,0
"495",144.223787149539,0
"497",75.2401104334922,0
"498",121.998104478023,0
"499",128.713909498265,0
