"","q_bin","qsd_bin","estimator","gear","1","2","3"
"1",1,1,"CPUE_AM","GN14",0,0,63
"2",1,1,"CPUE_AM","OT16",0,0,59
"3",1,1,"CPUE_AM","TLC1",0,0,67
"4",1,1,"CPUE_AM","TN",0,0,65
"5",1,1,"Mt_AM","GN14",29,29,5
"6",1,1,"Mt_AM","OT16",59,0,0
"7",1,1,"Mt_AM","TLC1",28,34,5
"8",1,1,"Mt_AM","TN",62,0,3
"9",1,2,"CPUE_AM","GN14",0,0,58
"10",1,2,"CPUE_AM","OT16",0,0,65
"11",1,2,"CPUE_AM","TLC1",0,0,69
"12",1,2,"CPUE_AM","TN",0,0,68
"13",1,2,"Mt_AM","GN14",17,26,15
"14",1,2,"Mt_AM","OT16",63,1,1
"15",1,2,"Mt_AM","TLC1",34,18,17
"16",1,2,"Mt_AM","TN",65,2,1
"17",1,3,"CPUE_AM","GN14",0,0,70
"18",1,3,"CPUE_AM","OT16",0,0,59
"19",1,3,"CPUE_AM","TLC1",0,0,54
"20",1,3,"CPUE_AM","TN",0,0,60
"21",1,3,"Mt_AM","GN14",9,19,42
"22",1,3,"Mt_AM","OT16",53,2,4
"23",1,3,"Mt_AM","TLC1",11,12,31
"24",1,3,"Mt_AM","TN",51,4,5
"25",2,1,"CPUE_AM","GN14",0,0,58
"26",2,1,"CPUE_AM","OT16",0,0,66
"27",2,1,"CPUE_AM","TLC1",0,0,70
"28",2,1,"CPUE_AM","TN",0,0,62
"29",2,1,"Mt_AM","GN14",0,0,58
"30",2,1,"Mt_AM","OT16",62,1,3
"31",2,1,"Mt_AM","TLC1",0,1,69
"32",2,1,"Mt_AM","TN",54,5,3
"33",2,2,"CPUE_AM","GN14",0,0,73
"34",2,2,"CPUE_AM","OT16",0,0,66
"35",2,2,"CPUE_AM","TLC1",0,0,73
"36",2,2,"CPUE_AM","TN",0,0,71
"37",2,2,"Mt_AM","GN14",0,0,73
"38",2,2,"Mt_AM","OT16",57,3,6
"39",2,2,"Mt_AM","TLC1",0,0,73
"40",2,2,"Mt_AM","TN",66,4,1
"41",2,3,"CPUE_AM","GN14",0,0,66
"42",2,3,"CPUE_AM","OT16",0,0,74
"43",2,3,"CPUE_AM","TLC1",0,0,73
"44",2,3,"CPUE_AM","TN",0,0,62
"45",2,3,"Mt_AM","GN14",0,0,66
"46",2,3,"Mt_AM","OT16",55,16,3
"47",2,3,"Mt_AM","TLC1",0,0,73
"48",2,3,"Mt_AM","TN",33,28,1
"49",3,1,"CPUE_AM","GN14",0,0,77
"50",3,1,"CPUE_AM","OT16",0,0,62
"51",3,1,"CPUE_AM","TLC1",0,0,64
"52",3,1,"CPUE_AM","TN",0,0,69
"53",3,1,"Mt_AM","GN14",0,0,77
"54",3,1,"Mt_AM","OT16",58,1,3
"55",3,1,"Mt_AM","TLC1",0,0,64
"56",3,1,"Mt_AM","TN",60,8,1
"57",3,2,"CPUE_AM","GN14",0,0,70
"58",3,2,"CPUE_AM","OT16",0,0,81
"59",3,2,"CPUE_AM","TLC1",0,0,64
"60",3,2,"CPUE_AM","TN",0,0,67
"61",3,2,"Mt_AM","GN14",0,0,70
"62",3,2,"Mt_AM","OT16",73,7,1
"63",3,2,"Mt_AM","TLC1",0,0,64
"64",3,2,"Mt_AM","TN",54,13,0
"65",3,3,"CPUE_AM","GN14",0,0,69
"66",3,3,"CPUE_AM","OT16",0,0,72
"67",3,3,"CPUE_AM","TLC1",0,0,70
"68",3,3,"CPUE_AM","TN",0,0,80
"69",3,3,"Mt_AM","GN14",0,0,69
"70",3,3,"Mt_AM","OT16",34,38,0
"71",3,3,"Mt_AM","TLC1",0,0,70
"72",3,3,"Mt_AM","TN",11,69,0
